"Player","Season","Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls_Performance","Ast_Performance","PK_Performance","PKatt_Performance","Sh_Performance","SoT_Performance","CrdY_Performance","CrdR_Performance","Touches_Performance","Tkl_Performance","Int_Performance","Blocks_Performance","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Fls_Performance","Fld_Performance","Off_Performance","Crs_Performance","TklW_Performance","OG_Performance","PKwon_Performance","PKcon_Performance"
"Gavi","2022-2023","3/2/23","Thu","Copa del Rey","Semi-finals","Away","W 1–0","Barcelona","Real Madrid","Y","FW",90,0,0,0,0,1,0,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","3/12/23","Sun","La Liga","Matchweek 25","Away","W 1–0","Barcelona","Athletic Club","Y","RM,LW,RW",89,0,0,0,0,0,0,0,0,50,3,1,2,0,0,0,1,0,23,32,71.9,4,24,1,11,3,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","3/19/23","Sun","La Liga","Matchweek 26","Home","W 2–1","Barcelona","Real Madrid","Y","LW",89,0,0,0,0,1,0,0,0,61,3,1,3,0.1,0.1,0,1,0,42,47,89.4,9,42,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","3/25/23","Sat","UEFA Euro Qualifying","Group stage","Home","W 3–0","Spain","Norway","Y","FW",57,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","3/28/23","Tue","UEFA Euro Qualifying","Group stage","Away","L 0–2","Spain","Scotland","N","",12,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","4/1/23","Sat","La Liga","Matchweek 27","Away","W 4–0","Barcelona","Elche","Y","RM",67,0,1,0,0,0,0,1,0,42,1,0,1,0,0,0.5,4,1,23,28,82.1,6,28,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","4/5/23","Wed","Copa del Rey","Semi-finals","Home","L 0–4","Barcelona","Real Madrid","Y","FW",90,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","4/10/23","Mon","La Liga","Matchweek 28","Home","D 0–0","Barcelona","Girona","Y","LM,RM",90,0,0,0,0,2,1,0,0,43,3,0,0,0.1,0.1,0.1,4,0,22,32,68.8,8,28,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","4/16/23","Sun","La Liga","Matchweek 29","Away","D 0–0","Barcelona","Getafe","Y","LM,RM",90,0,0,0,0,1,0,1,0,20,0,0,0,0,0,0,0,0,11,18,61.1,2,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","4/23/23","Sun","La Liga","Matchweek 30","Home","W 1–0","Barcelona","Atlético Madrid","Y","AM,RW",90,0,0,0,0,3,0,1,0,35,1,0,1,0.6,0.6,0,1,0,19,24,79.2,3,19,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","4/26/23","Wed","La Liga","Matchweek 31","Away","L 1–2","Barcelona","Rayo Vallecano","Y","LM",78,0,0,0,0,1,1,1,0,41,1,0,1,0,0,0,1,0,28,36,77.8,5,17,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","4/29/23","Sat","La Liga","Matchweek 32","Home","W 4–0","Barcelona","Betis","Y","LW",82,0,0,0,0,0,0,0,0,73,1,1,1,0,0,0,1,1,59,67,88.1,9,57,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","5/2/23","Tue","La Liga","Matchweek 33","Home","W 1–0","Barcelona","Osasuna","Y","LW",35,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,14,17,82.4,2,19,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","5/14/23","Sun","La Liga","Matchweek 34","Away","W 4–2","Barcelona","Espanyol","Y","LW",73,0,0,0,0,0,0,1,0,48,0,0,2,0,0,0,2,0,38,40,95,2,43,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","5/23/23","Tue","La Liga","Matchweek 36","Away","L 1–3","Barcelona","Valladolid","Y","RM",75,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,2,0,30,32,93.8,3,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","5/28/23","Sun","La Liga","Matchweek 37","Home","W 3–0","Barcelona","Mallorca","Y","RM",90,1,1,0,0,3,2,0,0,56,2,0,0,0.2,0.2,0.6,2,1,41,45,91.1,2,47,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","6/4/23","Sun","La Liga","Matchweek 38","Away","L 1–2","Barcelona","Celta Vigo","N","AM",45,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,25,28,89.3,1,21,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","6/15/23","Thu","UEFA Nations League","Semi-finals","Neutral","W 2–1","Spain","Italy","Y","AM",67,0,0,0,0,1,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","6/18/23","Sun","UEFA Nations League","Final","Neutral","D 0 (5)–0 (4)","Spain","Croatia","Y","AM",86,0,0,0,0,1,0,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","8/13/22","Sat","La Liga","Matchweek 1","Home","D 0–0","Barcelona","Rayo Vallecano","N","On matchday squad, but did not play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","8/21/22","Sun","La Liga","Matchweek 2","Away","W 4–1","Barcelona","Real Sociedad","Y","LW",63,0,1,0,0,0,0,0,0,35,0,1,0,0,0,0.3,2,1,25,28,89.3,1,17,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","8/28/22","Sun","La Liga","Matchweek 3","Home","W 4–0","Barcelona","Valladolid","Y","LB",90,0,0,0,0,1,0,0,0,69,2,2,0,0,0,0,1,0,50,57,87.7,2,33,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","9/3/22","Sat","La Liga","Matchweek 4","Away","W 3–0","Barcelona","Sevilla","Y","LB",63,0,0,0,0,0,0,1,0,35,0,0,1,0,0,0,1,0,26,32,81.3,0,22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","9/7/22","Wed","Champions Lg","Group stage","Home","W 5–1","Barcelona","Viktoria Plzeň","N","On matchday squad, but did not play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","9/10/22","Sat","La Liga","Matchweek 5","Away","W 4–0","Barcelona","Cádiz","Y","LB",77,0,0,0,0,0,0,0,0,65,2,0,1,0,0,0,0,0,43,52,82.7,2,35,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","9/13/22","Tue","Champions Lg","Group stage","Away","L 0–2","Barcelona","Bayern Munich","N","On matchday squad, but did not play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","9/17/22","Sat","La Liga","Matchweek 6","Home","W 3–0","Barcelona","Elche","Y","LB",90,0,2,0,0,0,0,0,0,80,0,0,1,0,0,1,5,2,70,71,98.6,5,46,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/1/22","Sat","La Liga","Matchweek 7","Away","W 1–0","Barcelona","Mallorca","Y","RB,LB",90,0,0,0,0,0,0,0,0,103,1,0,2,0,0,0,0,0,92,93,98.9,5,77,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/4/22","Tue","Champions Lg","Group stage","Away","L 0–1","Barcelona","Inter","N","LB",28,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,29,32,90.6,3,21,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/9/22","Sun","La Liga","Matchweek 8","Home","W 1–0","Barcelona","Celta Vigo","Y","RB",76,0,0,0,0,1,0,0,0,66,2,0,1,0,0,0,1,0,56,59,94.9,6,45,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/12/22","Wed","Champions Lg","Group stage","Home","D 3–3","Barcelona","Inter","N","LB",19,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,1,13,14,92.9,3,14,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/16/22","Sun","La Liga","Matchweek 9","Away","L 1–3","Barcelona","Real Madrid","Y","LB",59,0,0,0,0,0,0,0,0,50,3,1,2,0,0,0,1,0,37,42,88.1,3,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/20/22","Thu","La Liga","Matchweek 10","Home","W 3–0","Barcelona","Villarreal","N","On matchday squad, but did not play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/23/22","Sun","La Liga","Matchweek 11","Home","W 4–0","Barcelona","Athletic Club","Y","LB",90,0,0,0,0,0,0,0,0,73,2,0,0,0,0,0.2,4,0,57,65,87.7,1,55,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/26/22","Wed","Champions Lg","Group stage","Home","L 0–3","Barcelona","Bayern Munich","Y","LB",90,0,0,0,0,1,0,0,0,71,0,0,1,0,0,0,2,0,50,60,83.3,3,54,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","10/29/22","Sat","La Liga","Matchweek 12","Away","W 1–0","Barcelona","Valencia","Y","RB",90,0,0,0,0,0,0,0,0,73,0,2,1,0,0,0,1,0,59,63,93.7,5,54,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","11/1/22","Tue","Champions Lg","Group stage","Away","W 4–2","Barcelona","Viktoria Plzeň","N","LB",34,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,28,32,87.5,2,26,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","11/5/22","Sat","La Liga","Matchweek 13","Home","W 2–0","Barcelona","Almería","Y","RB",90,0,0,0,0,3,2,0,0,102,1,0,1,0.2,0.2,0.2,3,0,86,93,92.5,3,74,9,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","11/8/22","Tue","La Liga","Matchweek 14","Away","W 2–1","Barcelona","Osasuna","Y","RB",90,0,0,0,0,1,0,1,0,44,4,0,2,0.1,0.1,0,1,0,32,39,82.1,3,26,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Balde","2022-2023","11/23/22","Wed","World Cup","Group stage","Neutral","W 7–0","Spain","Costa Rica","N","LB",27,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,2,1,30,32,93.8,4,23,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
